timestamp,value,KPI ID
1980-09-25 14:01:00,182.478,3sigma-1
1980-09-25 14:02:00,176.231,3sigma-1
1980-09-25 14:03:00,183.917,3sigma-1
1980-09-25 14:04:00,177.798,3sigma-1
1980-09-25 14:05:00,165.469,3sigma-1
1980-09-25 14:06:00,181.878,3sigma-1
1980-09-25 14:07:00,184.502,3sigma-1
1980-09-25 14:08:00,183.303,3sigma-1
1980-09-25 14:09:00,177.578,3sigma-1
1980-09-25 14:10:00,171.641,3sigma-1
1980-09-25 14:11:00,191.014,3sigma-1
1980-09-25 14:12:00,184.068,3sigma-1
1980-09-25 14:13:00,188.457,3sigma-1
1980-09-25 14:14:00,175.739,3sigma-1
1980-09-25 14:15:00,175.524,3sigma-1
1980-09-25 14:16:00,189.128,3sigma-1
1980-09-25 14:17:00,176.885,3sigma-1
1980-09-25 14:18:00,167.14,3sigma-1
1980-09-25 14:19:00,173.723,3sigma-1
1980-09-25 14:20:00,168.46,3sigma-1
1980-09-25 14:21:00,177.623,3sigma-1
1980-09-25 14:22:00,183.888,3sigma-1
1980-09-25 14:23:00,167.487,3sigma-1
1980-09-25 14:24:00,165.572,3sigma-1
1980-09-25 14:25:00,170.48,3sigma-1
1980-09-25 14:26:00,172.474,3sigma-1
1980-09-25 14:27:00,166.448,3sigma-1
1980-09-25 14:28:00,163.098,3sigma-1
1980-09-25 14:29:00,163.544,3sigma-1
1980-09-25 14:30:00,163.816,3sigma-1
1980-09-25 14:31:00,186.38,3sigma-1
1980-09-25 14:32:00,178.898,3sigma-1
1980-09-25 14:33:00,166.19,3sigma-1
1980-09-25 14:34:00,165.544,3sigma-1
1980-09-25 14:35:00,166.867,3sigma-1
1980-09-25 14:36:00,178.212,3sigma-1
1980-09-25 14:37:00,169.749,3sigma-1
1980-09-25 14:38:00,169.483,3sigma-1
1980-09-25 14:39:00,165.488,3sigma-1
1980-09-25 14:40:00,159.746,3sigma-1
1980-09-25 14:41:00,172.564,3sigma-1
1980-09-25 14:42:00,166.777,3sigma-1
1980-09-25 14:43:00,168.385,3sigma-1
1980-09-25 14:44:00,165.223,3sigma-1
1980-09-25 14:45:00,157.756,3sigma-1
